K,G,S,CV,NPfix
10.0,0.35,0.0,0.0,1.526036
10.0,0.35,0.0,0.01,1.526616
10.0,0.35,0.0,0.1,1.541424
10.0,0.35,0.0,0.5,1.859244
10.0,0.35,0.0,1.0,1.89004
10.0,0.35,0.01,0.0,1.507356
10.0,0.35,0.01,0.01,1.507264
10.0,0.35,0.01,0.1,1.520488
10.0,0.35,0.01,0.5,1.856296
10.0,0.35,0.01,1.0,1.888156
10.0,0.35,0.1,0.0,1.29954
10.0,0.35,0.1,0.01,1.300972
10.0,0.35,0.1,0.1,1.324716
10.0,0.35,0.1,0.5,1.830976
10.0,0.35,0.1,1.0,1.880428
10.0,0.35,0.5,0.0,0.683388
10.0,0.35,0.5,0.01,0.68208
10.0,0.35,0.5,0.1,0.69018
10.0,0.35,0.5,0.5,1.500172
10.0,0.35,0.5,1.0,1.805776
10.0,0.35,1.0,0.0,0.565536
10.0,0.35,1.0,0.01,0.564284
10.0,0.35,1.0,0.1,0.565308
10.0,0.35,1.0,0.5,0.738012
10.0,0.35,1.0,1.0,1.522452
10.0,0.45,0.0,0.0,1.404548
10.0,0.45,0.0,0.01,1.404496
10.0,0.45,0.0,0.1,1.418568
10.0,0.45,0.0,0.5,1.737196
10.0,0.45,0.0,1.0,1.779236
10.0,0.45,0.01,0.0,1.388636
10.0,0.45,0.01,0.01,1.388568
10.0,0.45,0.01,0.1,1.403688
10.0,0.45,0.01,0.5,1.734896
10.0,0.45,0.01,1.0,1.777728
10.0,0.45,0.1,0.0,1.22166
10.0,0.45,0.1,0.01,1.2223
10.0,0.45,0.1,0.1,1.241208
10.0,0.45,0.1,0.5,1.705384
10.0,0.45,0.1,1.0,1.766472
10.0,0.45,0.5,0.0,0.768076
10.0,0.45,0.5,0.01,0.769296
10.0,0.45,0.5,0.1,0.7774
10.0,0.45,0.5,0.5,1.39166
10.0,0.45,0.5,1.0,1.682276
10.0,0.45,1.0,0.0,0.679972
10.0,0.45,1.0,0.01,0.680728
10.0,0.45,1.0,0.1,0.680912
10.0,0.45,1.0,0.5,0.809708
10.0,0.45,1.0,1.0,1.419888
10.0,0.55,0.0,0.0,1.3016
10.0,0.55,0.0,0.01,1.301624
10.0,0.55,0.0,0.1,1.311044
10.0,0.55,0.0,0.5,1.590528
10.0,0.55,0.0,1.0,1.634576
10.0,0.55,0.01,0.0,1.288368
10.0,0.55,0.01,0.01,1.288456
10.0,0.55,0.01,0.1,1.29856
10.0,0.55,0.01,0.5,1.587608
10.0,0.55,0.01,1.0,1.631236
10.0,0.55,0.1,0.0,1.161576
10.0,0.55,0.1,0.01,1.162488
10.0,0.55,0.1,0.1,1.177212
10.0,0.55,0.1,0.5,1.56258
10.0,0.55,0.1,1.0,1.6226
10.0,0.55,0.5,0.0,0.838208
10.0,0.55,0.5,0.01,0.83494
10.0,0.55,0.5,0.1,0.842456
10.0,0.55,0.5,0.5,1.297004
10.0,0.55,0.5,1.0,1.547884
10.0,0.55,1.0,0.0,0.769372
